  0.87
 r 0.04
 l 0.09
page nn 0.98
page vb 0.02
$900 nn 1.00
identify vb 1.00
Dunkirk nil 0.33
Dunkirk nn 0.67
functionally advb 1.00
Servant nn 1.00
Wichita nn 1.00
recaptured vb 1.00
stickman nn 1.00
justifying vb 1.00
holdovers nn 1.00
Ai nn 1.00
hazy jj 1.00
merchandising vb 1.00
shoestrings nn 1.00
Ah pn 0.39
Ah uh 0.61
Jack-of-all-trades nn 1.00
hugging vb 1.00
Workshops nn 1.00
Burgesses nn 1.00
embryonic jj 1.00
Hultberg nn 1.00
Syllables nn 1.00
capable jj 1.00
Paul's np$ 1.00
infinitive nn 1.00
Rosemary nn 1.00
privately-owned jj 1.00
K.J.P. nn 1.00
headland nn 1.00
storehouses nn 1.00
gleaming vb 1.00
represent vb 1.00
Frisco nn 1.00
insults nn 1.00
vindicate vb 1.00
slots nn 1.00
thar advb 1.00
Journal-Bulletin's np$ 1.00
Thay pn 1.00
trances nn 1.00
three-axis jj 1.00
DePugh nn 1.00
Dolce fw-jj-tl 1.00
Washoe nn 1.00
greying vb 1.00
Thai nn 1.00
Than cs 1.00
diehard jj 1.00
Hardshell nn 1.00
subsidy nn 1.00
Ax nn 1.00
self-awareness nn 1.00
maximize vb 1.00
Mamaroneck nn 1.00
Zachrisson's np$ 1.00
Ouray nn 1.00
30-30 cd 1.00
subside vb 1.00
incautious jj 1.00
bacteria nn 1.00
mother-introject nn 1.00
Jess's np$ 1.00
t-tau nn 1.00
splice nn 1.00
Shearing nn 1.00
Cairns nn 1.00
wings nn 1.00
wattles nn 1.00
swine nn 1.00
unamused jj 1.00
unproblematic jj 1.00
Styles nn 1.00
dignify vb 1.00
supportive jj 1.00
Bob nn 1.00
Boa nn 1.00
right-wing nn 1.00
household nn 1.00
suffrage nn 1.00
Box nn 1.00
Boy nn 0.86
Boy uh 0.14
bouts nn 1.00
Halkett nn 1.00
umbrella nn 1.00
Bow nn 1.00
fishpond nn 1.00
soap nn 1.00
Rousseauan jj 1.00
tastes nn 0.56
tastes vb 0.44
$2.98 nn 1.00
Congdon nn 1.00
Gestapo nn 1.00
tasted vb 1.00
Felske nn 1.00
isothermally advb 1.00
diversities nn 1.00
y'all pn 1.00
two-room jj 1.00
Weinstein's np$ 1.00
minute nn 0.80
minute jj 0.20
staffs nn 1.00
boom-boom-boom uh 1.00
XRELEASE nn 1.00
furrowed vb 1.00
barflies nn 1.00
digesting vb 1.00
untruth nn 1.00
Constant jj 0.50
Constant nn 0.50
fathered vb 1.00
daydreamed vb 1.00
fouled vb 1.00
Golfers nn 1.00
unspoken jj 1.00
indirectly advb 1.00
mercury nn 1.00
Cases nn 1.00
Writers' nn 1.00
unnaturally advb 1.00
westwards advb 1.00
jammed-together jj 1.00
steoreotyped vb 1.00
Theodosian jj 1.00
present-day jj 1.00
Capable jj 1.00
21-cm nn 1.00
reverent jj 1.00
Wouldn't ql 1.00
physiologic jj 1.00
charged vb 1.00
converged vb 1.00
gathering nn 0.56
gathering vb 0.44
Deadwood nn 1.00
Parents nn 1.00
Yalies nn 1.00
Hoping vb 1.00
charges nn 0.98
charges vb 0.02
LITORIGIN nn 1.00
fists nn 1.00
translate nil 0.06
translate vb 0.94
cortico-fugal jj 1.00
floorboards nn 1.00
character nn 1.00
slab nn 1.00
Goering nn 1.00
evoked vb 1.00
caloric jj 1.00
proposes vb 1.00
Laguerre nn 1.00
Nineties nn 1.00
Choreographed vb 1.00
slam nn 1.00
Alto nn 1.00
evokes vb 1.00
slap vb 1.00
discounts nn 1.00
V nn 1.00
slat nn 1.00
knife-men nn 1.00
fire-fighting jj 1.00
Hessian jj 1.00
proposed vb 1.00
rearranged vb 1.00
close-up nn 1.00
Totalitarianism nn 1.00
kerygma nn 1.00
sorriest jj 1.00
afloat advb 1.00
equals nn 0.12
equals vb 0.88
Everett nn 1.00
unscientific jj 1.00
talkin' vb 1.00
monasticism nn 1.00
esteem nn 1.00
panes nn 1.00
20-25 cd 1.00
20-22 cd 1.00
green-tinted jj 1.00
libraries nn 1.00
tomes nn 1.00
vet nn 1.00
supranationalism nn 1.00
boomed vb 1.00
acclaims vb 1.00
corpuscular-radiation nn 1.00
Carpathians nn 1.00
Bryson nn 1.00
Nice nn 0.14
Nice jj 0.86
Hartman nn 1.00
Nick nn 1.00
Muzo nn 1.00
mudslinging nn 1.00
shores nn 1.00
vielleicht fw 1.00
doorstep nn 1.00
Kleist nn 1.00
floundering vb 1.00
Yiddish jj 0.50
Yiddish nn 0.50
Short's np$ 1.00
Newspapers nn 1.00
chaw nn 1.00
chat nn 0.60
chat vb 0.40
Gridley nn 1.00
char vb 1.00
evocation nn 1.00
chap nn 1.00
tablespoonful nn 1.00
library nn 1.00
Accept vb 1.00
guard nn 0.77
guard vb 0.23
Regius nn 1.00
Department's nn 1.00
Yale-Army nn 1.00
instinct nn 1.00
olives nn 1.00
one-sixth nn 1.00
mist nn 1.00
Heel-Kaola nn 1.00
underarm nn 1.00
ffreind vb 1.00
optimism nn 1.00
platted vb 1.00
Plasti-Bars nn 1.00
1,571 cd 1.00
Ferraros nn 1.00
whirring vb 1.00
Hollowell nn 1.00
Nazi-minded jj 1.00
swallow nn 0.44
swallow vb 0.56
office nn 1.00
Racial jj 1.00
glissade nn 1.00
platter nn 1.00
Mao nn 1.00
Man nn 0.98
Man uh 0.02
thermocouples nn 1.00
Mag nn 1.00
besetting vb 1.00
Mad jj 1.00
distillation nn 1.00
insurgents nn 1.00
barracks nn 1.00
May nn 0.89
May ql 0.11
Max nn 1.00
Core nn 1.00
shattered vb 1.00
Mar nn 1.00
Map nn 1.00
neighborhoods nn 1.00
diffusers nn 1.00
Subjects nn 1.00
subsidiary nn 0.86
subsidiary jj 0.14
seniors nn 1.00
dignitaries nn 1.00
disarm vb 1.00
Casey nn 1.00
suzerain nn 1.00
Transitional jj 1.00
Penrose nn 1.00
jawbone nn 1.00
soubriquet nn 1.00
mastoideus nn 1.00
Tolls nn 1.00
uncertain jj 1.00
antibiotics nn 1.00
monstrosity nn 1.00
typifying vb 1.00
doubloon nn 1.00
Hetman's np$ 1.00
Kitti's np$ 1.00
$842,617 nn 1.00
weary jj 1.00
veneer nn 1.00
night nn 1.00
bateau nn 1.00
pours vb 1.00
Thorp nn 1.00
Theories nn 1.00
Privy jj 1.00
consultant nn 1.00
Duyvil nn 1.00
lookup nn 1.00
imperiled vb 1.00
obligation nn 1.00
abundantly ql 1.00
squall nn 1.00
Montrachet nn 1.00
pedantic jj 1.00
cortico-hypothalamic jj 1.00
continuously advb 1.00
calibrated vb 1.00
Long-range nn 1.00
Digges nn 1.00
launch nn 0.30
launch vb 0.70
languid jj 1.00
Equity nn 1.00
fonder jj 1.00
2:30.3-:35.3 cd 1.00
quam fw 1.00
give-and-take nn 1.00
pistachio nn 1.00
chisels nn 1.00
existing vb 1.00
Quakeress nn 1.00
setup nn 1.00
Wragge nn 1.00
Pavlov nn 1.00
sweetpeas nn 1.00
over-emphasized vb 1.00
Cole's np$ 1.00
counseled vb 1.00
nasty jj 1.00
behaviors nn 1.00
suitor nn 1.00
efficaciously advb 1.00
Hiram nn 1.00
unrepentant jj 1.00
width nn 1.00
evaluative jj 1.00
Frances nn 1.00
cholera nn 1.00
homely jj 1.00
Baird nn 1.00
pawnshop nn 1.00
justify vb 1.00
Fenster nn 1.00
Middle jj 1.00
differently advb 1.00
arty jj 1.00
darkly advb 1.00
circulating vb 1.00
arts nn 1.00
torches nn 1.00
cosmical jj 1.00
Apologia nn 1.00
Kercheval nn 1.00
chimera-chasing jj 1.00
Editors nn 1.00
strenuously advb 1.00
penthouse nn 1.00
unceasing jj 1.00
retouching nn 1.00
reinstall vb 1.00
shipboard nn 1.00
Oedipus nn 1.00
flatus nn 1.00
pretend vb 1.00
breastworks nn 1.00
Cromwell nn 1.00
gourd nn 1.00
Observer nn 1.00
sultans nn 1.00
semi-special jj 1.00
contraception nn 1.00
blank jj 0.79
blank nn 0.21
carpenters nn 1.00
epithet nn 1.00
Ptolemaists nn 1.00
Ginner's nn 1.00
Chef nn 1.00
Marty nn 1.00
flng vb 1.00
angry jj 1.00
English nn 0.44
English jj 0.56
Chen nn 1.00
seclude vb 1.00
inner jj 1.00
Ches nn 1.00
dribbled vb 1.00
love-in-action nn 1.00
23-year-old jj 1.00
above-mentioned jj 1.00
Fonds fw-nn-tl 1.00
Respiratory jj 1.00
62-63 cd 1.00
harbor nn 0.84
harbor vb 0.16
hereinafter advb 1.00
self-defeat nn 1.00
Nude jj 1.00
5-mile jj 1.00
return nn 0.58
return jj 0.01
return vb 0.40
slash-mouthed jj 1.00
khan nn 1.00
Residential jj 1.00
? nil 0.00
? .-hl 0.01
? . 0.99
? .-nc 0.00
? .-tl 0.00
Mon-Goddess nn 1.00
conferring vb 1.00
mysterious jj 1.00
over jj 0.00
over advb 0.32
over under 0.00
over in 0.68
consanguineous jj 1.00
revolutionists nn 1.00
flailing vb 1.00
emotional jj 1.00
bio-medical jj 1.00
subject nn 0.77
subject jj 0.23
subject vb 0.01
Violet nn 1.00
Negligence nn 1.00
oven nn 1.00
sojourner nn 1.00
tubs nn 1.00
hacked vb 1.00
vine-crisscrossed jj 1.00
chivying vb 1.00
Paintings nn 1.00
Beatrice nn 1.00
postage-prepaid jj 1.00
scoop nn 0.80
scoop vb 0.20
skinnin' vb 1.00
Phipps nn 1.00
typography nn 1.00
tissues nn 1.00
counter-clockwise advb 1.00
worshippers nn 1.00
rehearsal nn 1.00
Merritt nn 1.00
statuary nn 1.00
masculine jj 1.00
country-squirehood nn 1.00
exigencies nn 1.00
lobes nn 1.00
Presidential jj 1.00
educators nn 1.00
manager nn 1.00
probation nn 1.00
Dexedrine nn 1.00
outpost nn 1.00
Ab63711-r nn 1.00
Foundation nn 1.00
Ganado nn 1.00
haircut nn 1.00
Nova nn 1.00
Novo nn 1.00
Cheer vb 1.00
circa advb 1.00
$5000 nn 1.00
drove nn 0.03
drove vb 0.97
weatherproof jj 1.00
chain-reaction nn 1.00
wind-swept jj 1.00
clarity nn 1.00
namely advb 1.00
thiihng nn 1.00
illumined vb 1.00
Nicodemus nn 1.00
sparkled vb 1.00
Lazarus nn 1.00
Turks nn 1.00
doses nn 1.00
Clifton nn 1.00
debauchery nn 1.00
Petruchka nn 1.00
months nn 1.00
meantime nn 0.90
meantime advb 0.10
sparkles vb 1.00
Jansenist jj 1.00
Nicklaus nn 1.00
sister's nn 1.00
formalize vb 1.00
exercises nn 0.83
exercises vb 0.17
gutter nn 1.00
perforations nn 1.00
credible jj 1.00
Keene nn 1.00
gutted vb 1.00
Space nn 1.00
livelihood nn 1.00
Nov. nn 1.00
Abnormal jj 1.00
Bankers nn 1.00
hover vb 1.00
swirling vb 1.00
Lincoln's np$ 1.00
rejections nn 1.00
fabulous jj 1.00
Gilborn nn 1.00
undeniably advb 1.00
Ukrainian jj 1.00
reluctantly advb 1.00
differences nn 1.00
oppression nn 1.00
Cherwell nn 1.00
clay nn 1.00
russe nn 1.00
tourists' nn 1.00
burners nn 1.00
sideboard nn 1.00
subcontracting vb 1.00
launching nn 0.33
launching vb 0.67
open-face nn 1.00
siding nn 0.80
siding vb 0.20
plowing nn 0.27
plowing vb 0.73
Ol' jj 1.00
Coyotes nn 1.00
embezzlement nn 1.00
appealing jj 0.79
appealing vb 0.21
lieutenant's nn 1.00
oxen's nn 1.00
clambering vb 1.00
tolerant jj 1.00
Toying vb 1.00
Increased vb 1.00
comradeship nn 1.00
mumbling vb 1.00
nevertheless advb 1.00
no-trading jj 1.00
P.D.I. nn 1.00
senseless jj 1.00
Majdan-Tartarski nn 1.00
dramatic jj 1.00
braweling vb 1.00
Chlortetracycline nn 1.00
pig nn 1.00
Seasonal jj 1.00
emptiness nn 1.00
2.1.6 cd 1.00
reaped vb 1.00
astral jj 1.00
Old jj 1.00
Ivies nn 1.00
wangled vb 1.00
Powicke nn 1.00
simple-seeming jj 1.00
Work nn 1.00
remitted vb 1.00
legislator nn 1.00
Hard jj 0.33
Hard nn 0.67
Word nn 1.00
Daniel nn 1.00
coke nn 1.00
awake jj 0.58
awake advb 0.37
awake vb 0.05
Effie nn 1.00
agates nn 1.00
clam nn 1.00
knife nn 0.99
knife coating 0.01
geeing nn 1.00
maht ql 1.00
Megarians nn 1.00
guiltiness nn 1.00
bonheur fw 1.00
sounds nn 0.62
sounds vb 0.38
paths nn 1.00
Reuben nn 1.00
Hempstead nn 1.00
Boats nn 1.00
expressly advb 1.00
prostitute nn 0.83
prostitute vb 0.17
criminal nn 0.45
criminal jj 0.55
spots nn 1.00
pit nn 0.93
pit vb 0.07
Blockade nn 1.00
against advb 0.00
against in 1.00
1906 cd 1.00
unfathomable jj 1.00
blanche jj 1.00
Dark nn 0.20
Dark jj 0.73
Dark jj-tl-hl 0.07
ASPIS fw-nn-nc 1.00
concussion nn 1.00
Boatyards nn 1.00
Oval nn 1.00
Threshold nn 1.00
stories nn 1.00
Norris nn 1.00
posing vb 1.00
Agamemnon's np$ 1.00
Dooleys nn 1.00
1903 cd 1.00
storied jj 1.00
Lieut nn 1.00
Prence nn 1.00
utterance nn 1.00
unpromising jj 1.00
Cradle nn 1.00
presentational jj 1.00
contemptible jj 1.00
Bar-H nn 1.00
woodland nn 1.00
inhibited vb 1.00
end-product nn 1.00
coercive jj 1.00
forage nn 1.00
unimportant jj 1.00
archeological jj 1.00
continued vb 1.00
Anybody pn 1.00
workpiece nn 1.00
boundless jj 1.00
hamlet nn 1.00
eatings nn 1.00
continues vb 1.00
Hygiene nn 1.00
commission's nn 1.00
pour fw-in-tl 0.22
pour vb 0.78
bureaucrats nn 1.00
operator nn 1.00
maturity nn 1.00
imitate vb 1.00
essences nn 1.00
Walbridge nn 1.00
impressing vb 1.00
Psithyrus nn 1.00
result nn 0.81
result vb 0.19
seven- cd 1.00
dying nn 0.09
dying vb 0.91
wave-travel nn 1.00
Oczakov nn 1.00
Elsie nn 1.00
Porch nn 1.00
polity nn 1.00
ginnin' vb 1.00
fifty-fifty jj 1.00
Woburn nn 1.00
stomach-belly nn+nn-nc 1.00
polyether nn 1.00
herring nn 1.00
$102,285,000 nn 1.00
gemlike jj 1.00
approvingly advb 1.00
opposition nn 1.00
Erhart nn 1.00
magazines nn 1.00
eligible jj 1.00
ultramodern jj 1.00
brew nn 1.00
burdens nn 1.00
Mozart nn 1.00
mottled vb 1.00
ordinances nn 1.00
whining vb 1.00
Orioles nn 1.00
erotica nn 1.00
schoolboy nn 1.00
whiz nn 1.00
excelsior nn 1.00
ships' nn 1.00
tibialis fw 1.00
Pawtucket nn 1.00
whir nn 1.00
ginning vb 1.00
whip nn 0.74
whip vb 0.26
projected vb 1.00
whit nn 1.00
deficiencies nn 1.00
1771 cd 1.00
1773 cd 1.00
a-coming vb 1.00
1774 cd 1.00
1777 cd 1.00
whim nn 1.00
lain vb 1.00
1778 cd 1.00
unequivocally advb 0.80
unequivocally ql 0.20
$66,000 nn 1.00
Bacillus nn 1.00
fur nn 1.00
claws nn 1.00
Jemela nn 1.00
turtlebacks nn 1.00
Delta nn 1.00
Base nn 1.00
madman nn 1.00
deafened vb 1.00
visualization nn 1.00
co-ordinate vb 1.00
Foster nn 1.00
Dwight nn 1.00
correlation nn 1.00
Bast nn 1.00
fun nn 1.00
deliberation nn 1.00
polecat nn 1.00
Pass vb 1.00
Past dt 0.25
Past nn 0.50
Past in 0.25
Urged vb 1.00
swami nn 1.00
elaborated vb 1.00
Lying vb 1.00
Dist. nn 1.00
swamp nn 1.00
undrinkable jj 1.00
Congolese jj 0.58
Congolese nn 0.42
discretionary jj 1.00
machine-gunned vb 1.00
levels nn 0.99
levels vb 0.01
presented vb 1.00
Sociological jj 1.00
Itoiz nn 1.00
spittle nn 1.00
Parker nn 1.00
plaster nn 1.00
curtained jj 1.00
Echo nn 1.00
presenter nn 1.00
Somerset nn 1.00
radar nn 1.00
camping vb 1.00
soddies nn 1.00
Afternoon nn 1.00
carport nn 1.00
replace vb 1.00
Maroc nn 1.00
layette nn 1.00
Abrams nn 1.00
McNear nn 1.00
morphophonemics nn 1.00
dark jj 0.87
dark nn 0.13
contendere fw-vb-nc 1.00
Cook nn 0.96
Cook vb 0.04
Lousy jj 1.00
Hustler nn 1.00
Cool nn 0.50
Cool jj 0.50
K.G. nn 1.00
Hump nn 1.00
Resnik nn 1.00
Vocabularianism nn 1.00
categorical jj 1.00
good jj 0.90
good advb 0.02
good nn 0.08
preview nn 1.00
Cieca fw-nn-tl 1.00
Tar nn 1.00
shortly advb 1.00
Bo nn 1.00
grader nn 1.00
cleavage nn 1.00
Tax nn 1.00
emigrated vb 1.00
flesh nn 1.00
Broome nn 1.00
graded vb 1.00
Self's nn 1.00
Musicale fw-jj-tl 1.00
Altairians nn 1.00
baptistery nn 1.00
oxide nn 1.00
Tai nn 1.00
Tan nn 0.50
Tan vb 0.50
Tao nn 1.00
Upstairs advb 1.00
smoke nn 0.80
smoke vb 0.20
labor-based jj 1.00
reimbursed vb 1.00
breathtaking jj 1.00
victuals nn 1.00
existentialist nn 1.00
31st od 1.00
recent jj 1.00
service nn 0.98
service vb 0.02
Bedbugs nn 1.00
shibboleths nn 1.00
Casca nn 1.00
reimburses vb 1.00
quotation nn 1.00
many-sided jj 1.00
encourage vb 1.00
silke nn 1.00
past-fantasy nn 1.00
commonness nn 1.00
Reasons nn 1.00
Breuer nn 1.00
hundreds nn 1.00
Esperanza nn 1.00
all-white jj 1.00
remunerative jj 1.00
Soon advb 1.00
revealed vb 1.00
Torrio-Capone nn 1.00
silky jj 1.00
multi-family jj 1.00
kale nn 1.00
Araby nn 1.00
Lars nn 1.00
cloudy jj 1.00
armed vb 1.00
Repertory nn 1.00
Arabs nn 1.00
Stendler nn 1.00
Hume nn 1.00
restudy nn 1.00
hysterectomy nn 1.00
superlunary jj 1.00
Sakellariadises nn 1.00
great-nieces nn 1.00
Veterans nn 1.00
patriarchal jj 1.00
Lark nn 1.00
Eminonu nn 1.00
Cerise nn 1.00
environmental jj 1.00
Suggested vb 1.00
brand-new jj 1.00
mould vb 1.00
protruded vb 1.00
anybody'd pn 1.00
viciousness nn 1.00
stout jj 1.00
mastiff nn 1.00
dimly advb 1.00
Wyoming nn 1.00
aujourd'hui fw 1.00
interlayer jj 1.00
2-score-year jj 1.00
patrol nn 0.90
patrol vb 0.10
mingling vb 1.00
Nara nn 1.00
Wilder's np$ 1.00
patron nn 1.00
what're wdt+ 1.00
shown vb 1.00
animation nn 1.00
diction nn 1.00
staircases nn 1.00
datum nn 1.00
realize vb 1.00
Charges nn 1.00
rat nn 1.00
showy jj 1.00
Tanks nn 1.00
whipsawed vb 1.00
shows nn 0.22
shows vb 0.78
prejudice nn 0.80
prejudice vb 0.20
embodied vb 1.00
sockdologizing vb 1.00
parried vb 1.00
Resisting vb 1.00
legislation-delaying jj 1.00
messages nn 1.00
ring-around-the-rosie nn 1.00
medieval jj 1.00
Pyhrric jj 1.00
turtle nn 1.00
urgings nn 1.00
Improvement nn 1.00
characterizes vb 1.00
glycerine nn 1.00
Gregory nn 1.00
Wanderjahr fw 1.00
receptionist's nn 1.00
threateningly advb 1.00
rawboned jj 1.00
unpadded jj 1.00
super-experiment nn 1.00
healthily advb 1.00
unloaded vb 1.00
Evening nn 1.00
15-degree jj 1.00
total-cost nn 1.00
gaze nn 0.58
gaze vb 0.42
hall-mark nn 1.00
sago nn 1.00
association's nn 1.00
desks nn 1.00
township nn 1.00
draining nn 0.67
draining vb 0.33
sage nn 1.00
cheated vb 1.00
Take vb 1.00
deepening nn 1.00
torch nn 1.00
sags nn 1.00
effusive jj 1.00
Irenaeus nn 1.00
Angel's nn 1.00
tongue-tied jj 1.00
boy-name nn 1.00
saint nn 1.00
Leningrad's np$ 1.00
appallingly ql 1.00
mountainously ql 1.00
secretions nn 1.00
Huff's np$ 1.00
1678 cd 1.00
nullified vb 1.00
evaporative jj 1.00
diethylaminoethyl nn 1.00
Ford nn 1.00
1671 cd 1.00
Form nn 0.95
Form vb 0.05
pinging vb 1.00
indisposition nn 1.00
Fort nn 0.91
Fort vb 0.04
Fort nn-tl-hl 0.04
Center nn 1.00
indiscriminate jj 1.00
slow-moving jj 1.00
Lung nn 1.00
Lund nn 1.00
dichotomy nn 1.00
democratization nn 1.00
Over-achievers nn 1.00
mash nn 1.00
unpredictable jj 1.00
One-day nn 1.00
wrestling vb 1.00
mainland nn 1.00
horseman nn 1.00
Productions nn 1.00
weight nn 1.00
malt nn 1.00
bandoleers nn 1.00
600-mile jj 1.00
burgomaster's nn 1.00
nudge nn 0.50
nudge vb 0.50
merriment nn 1.00
telegraphing vb 1.00
deathbed nn 1.00
unction nn 1.00
squadrons nn 1.00
trilogy nn 1.00
self-analysis nn 1.00
Faulknerian jj 1.00
train nn 0.87
train vb 0.13
clotheslines nn 1.00
dressed vb 1.00
sterile jj 1.00
stampede nn 0.50
stampede vb 0.50
cloth-of-gold nn 1.00
trail nn 0.93
trail vb 0.07
vascular jj 1.00
thong nn 1.00
Zeffirelli nn 1.00
dresses nn 1.00
dresser nn 1.00
Costaggini nn 1.00
Broncs nn 1.00
Wet jj 1.00
wanderings nn 1.00
depicting vb 1.00
Wes nn 1.00
t'hi-im in+ 1.00
male nn 0.65
male jj 0.35
Converts nn 1.00
$8.00 nn 1.00
Francaise fw-jj-tl 1.00
Wee nn 1.00
flounced vb 1.00
ego's nn 1.00
Dimes nn 1.00
millenium nn 1.00
rinse nn 0.83
rinse vb 0.17
Anders nn 1.00
arithmetic nn 1.00
Blauberman nn 1.00
promote vb 1.00
voltaic jj 1.00
top-tang nn 1.00
anthropomorphic jj 1.00
minimum jj 0.56
minimum nn 0.44
process-server nn 1.00
Fight vb 1.00
fairy-land nn 1.00
artery-pulmonary nn 0.20
artery-pulmonary jj 0.80
Dip vb 1.00
hurtling vb 1.00
devoured vb 1.00
belligerently advb 1.00
sharply advb 0.92
sharply ql 0.08
hour nn 1.00
subparts nn 1.00
nuclear jj 1.00
Dig vb 1.00
Did vb 1.00
Ellwood nn 1.00
shirts nn 1.00
campsites nn 1.00
lab nn 1.00
Laurance nn 1.00
lag nn 0.33
lag vb 0.67
lad nn 1.00
Irma nn 1.00
soaring vb 1.00
glaze nn 1.00
lay jj 0.05
lay vb 0.95
liar's nn 1.00
Citizens nn 1.00
husband's nn 1.00
kernel nn 1.00
lap nn 0.94
lap vb 0.06
law nn 1.00
Brien nn 1.00
340-blast nn 1.00
trait nn 1.00
Jeep nn 1.00
invaluable jj 1.00
deviance nn 1.00
screwball nn 1.00
260-member jj 1.00
tris(hydroxymethyl)-aminometha nn 1.00
hubbub nn 1.00
homicidal jj 1.00
womb nn 1.00
Barco nn 1.00
Brother nn 1.00
consumed vb 1.00
mercy nn 1.00
Thakhek nn 1.00
flyer nn 1.00
petroleum nn 1.00
Warwickshire nn 1.00
oilman-rancher nn 1.00
Cap nn 0.70
Cap vb 0.30
seq. fw- 1.00
underwent vb 1.00
Tamiris' np$ 1.00
27-in. nn 1.00
teased vb 1.00
'pache nn 1.00
Allemands fw-jj-tl 1.00
snow-covered jj 1.00
Laurel nn 1.00
Lauren nn 1.00
Abdallah nn 1.00
Stormy jj 0.25
Stormy nn 0.75
Mattie nn 1.00
Gallery's nn 1.00
lineage nn 1.00
instinctive jj 1.00
underwriter nn 1.00
Skiway nn 1.00
usable jj 1.00
navigator nn 1.00
island nn 1.00
friction nn 1.00
Hee nn 1.00
godsend nn 1.00
hand-level nn 1.00
Sparky nn 1.00
extrapolation nn 1.00
differentiated vb 1.00
Hez nn 1.00
lunchtime nn 1.00
Sabinas fw-nns-nc 1.00
Hey uh 1.00
rhododendron nn 1.00
middle-aged jj 1.00
Score vb 1.00
Brigade nn 1.00
teachings nn 1.00
must've ql 1.00
nephew nn 1.00
half-dressed jj 1.00
minded vb 1.00
tapdance nn 1.00
consumer nn 1.00
bonus nn 1.00
squeeze nn 0.27
squeeze vb 0.73
vertebrates nn 1.00
1.58 cd 1.00
preprinting vb 1.00
leather-hard jj 1.00
indignities nn 1.00
interest nn 0.99
interest vb 0.01
recommendations nn 1.00
Waiting vb 1.00
survey nn 0.90
survey vb 0.10
oxygen nn 1.00
collages nn 1.00
Naked jj 1.00
Jew-baiter nn 1.00
henchman nn 1.00
Keynotes nn 1.00
revamped vb 1.00
Kentucky nn 1.00
abyss nn 1.00
fanatical jj 1.00
flowers nn 1.00
quarrymen nn 1.00
Prentiss' np$ 1.00
successfully advb 1.00
makeshift jj 1.00
blunt jj 0.75
blunt vb 0.25
calibers nn 1.00
non-objective jj 1.00
resuspended vb 1.00
unclasping vb 1.00
pamphlets nn 1.00
Italian jj 0.91
Italian nn 0.09
Superstition nn 1.00
Anson nn 1.00
$1,250,000 nn 1.00
canvassing nn 1.00
denunciation nn 1.00
betties nn 1.00
incriminating vb 1.00
wreathed vb 1.00
replaces vb 1.00
intolerant jj 1.00
revolutions nn 1.00
Wait nn 0.29
Wait vb 0.71
Naphta nn 1.00
unhappily advb 0.88
unhappily ql 0.12
replaced vb 1.00
privilege nn 1.00
curling vb 1.00
overflowing vb 1.00
Wyatt nn 1.00
C'mon uh 0.75
C'mon vb 0.25
Rodgers' np$ 1.00
glamour nn 1.00
imperialist nn 1.00
meanwhile advb 1.00
Hillary nn 1.00
imperialism nn 1.00
third-story nn 1.00
watercolorists nn 1.00
supply nn 0.56
supply vb 0.44
Portia nn 1.00
biracial jj 1.00
subordinator nn 1.00
Albany nn 1.00
Babylon nn 1.00
1960's cd$ 0.43
1960's nn 0.57
hot-colored jj 1.00
halter nn 1.00
Sheeran nn 1.00
invulnerable jj 1.00
Rider nn 0.80
Rider nn-tl-hl 0.20
aconte nn 1.00
tomato-red jj 1.00
Duque nn 1.00
Giacomo nn 1.00
$600 nn 1.00
tartly advb 1.00
starre nn 1.00
gloated vb 1.00
escalation nn 1.00
rpm nn 1.00
thrombosed jj 1.00
quotations nn 1.00
Fleming nn 1.00
Social jj 1.00
succeeded vb 1.00
estimates nn 0.96
estimates vb 0.04
child-cloud nn 1.00
novelized vb 1.00
screenplay nn 1.00
particulate jj 1.00
19-foot jj 1.00
Sheraton-Biltmore nn 1.00
unofficially advb 1.00
Inevitably advb 1.00
Woodin nn 1.00
estimated vb 1.00
Virsaladze nn 1.00
redevelopment nn 1.00
Mutual jj 1.00
understatement nn 1.00
fingernails nn 1.00
habitual jj 1.00
togs nn 1.00
aspen nn 1.00
Income nn 1.00
rumbling vb 1.00
acute jj 1.00
Peter's np$ 1.00
cramp nn 1.00
chapel nn 1.00
topography nn 1.00
coppery jj 1.00
11,330 cd 1.00
Tate nn 1.00
prompted vb 1.00
Millay's np$ 1.00
retaliate vb 1.00
histochemical jj 1.00
student nn 1.00
klaxon nn 1.00
palatable jj 1.00
legitimate jj 1.00
person nn 1.00
Overwhelmed vb 1.00
trajectory nn 1.00
Gram nn 1.00
contaminating vb 1.00
Warrenton nn 1.00
Particularly advb 0.75
Particularly ql 0.25
unsuitably advb 1.00
Shawomet nn 1.00
Siege nn 1.00
diagnostic nn 0.20
diagnostic jj 0.80
subcommittee nn 1.00
microscopy nn 1.00
Ivy nn 1.00
Rexroth nn 1.00
chouise nn 1.00
low-tension nn 1.00
microscope nn 1.00
baton nn 1.00
clown's nn 1.00
scholars nn 1.00
Kivu nn 1.00
Rockies nn 1.00
lunatic-fringe nn 1.00
cared vb 1.00
Drums nn 1.00
weariness nn 1.00
allowed vb 1.00
lucks nn 1.00
Gladden nn 1.00
flirtatious jj 1.00
acre nn 1.00
cares nn 0.12
cares vb 0.88
pseudo-feeling nn 1.00
propylthiouracil nn 1.00
Kurigalzu nn 1.00
random-storage nn 1.00
Mickey nn 1.00
Janssen nn 1.00
seized vb 1.00
upholstery nn 1.00
